epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,13484.1,1.11549,0.73631,1.19659,0.9448,0.90597,0.94984,0.73158,0.90814,2.46753,0.95424,0.00307,0.00307,0.00307
58,13728.4,1.10443,0.72654,1.19142,0.9442,0.90776,0.95066,0.73183,0.9082,2.44938,0.95514,0.00294625,0.00294625,0.00294625
59,13980.8,1.10557,0.71977,1.18935,0.94431,0.90738,0.95103,0.73263,0.90865,2.40642,0.95539,0.0028225,0.0028225,0.0028225
60,14225.8,1.09384,0.71146,1.18513,0.94162,0.90672,0.95135,0.73248,0.90927,2.374,0.95587,0.00269875,0.00269875,0.00269875
61,14479.8,1.09906,0.71263,1.18851,0.9417,0.90716,0.95143,0.73194,0.90969,2.36722,0.95617,0.002575,0.002575,0.002575
62,14719.3,1.08392,0.70234,1.17657,0.9411,0.90725,0.95134,0.73275,0.90988,2.33661,0.95618,0.00245125,0.00245125,0.00245125
63,14954.3,1.06663,0.68338,1.17083,0.94384,0.90585,0.95137,0.73357,0.90999,2.32021,0.95619,0.0023275,0.0023275,0.0023275
64,15187.2,1.06438,0.68071,1.16692,0.94353,0.90577,0.95155,0.73473,0.91051,2.30921,0.95663,0.00220375,0.00220375,0.00220375
65,15416,1.06677,0.67495,1.16588,0.94371,0.90638,0.95182,0.73428,0.91083,2.30565,0.95682,0.00208,0.00208,0.00208
66,15641.1,1.05838,0.67072,1.16481,0.94724,0.90521,0.95204,0.73495,0.91118,2.29159,0.95746,0.00195625,0.00195625,0.00195625
67,15863.8,1.04498,0.65844,1.16179,0.94298,0.90585,0.95221,0.73467,0.91134,2.28549,0.95774,0.0018325,0.0018325,0.0018325
68,16087,1.04457,0.6552,1.1583,0.94279,0.90686,0.95205,0.73544,0.91188,2.29457,0.95807,0.00170875,0.00170875,0.00170875
69,16311.6,1.02568,0.64228,1.14407,0.94152,0.90787,0.95208,0.73552,0.91233,2.28441,0.95825,0.001585,0.001585,0.001585
70,16532.8,1.02613,0.64207,1.14758,0.94117,0.90944,0.95238,0.73607,0.91284,2.27408,0.95861,0.00146125,0.00146125,0.00146125
71,16740,0.98874,0.48921,1.18144,0.94066,0.90998,0.9526,0.7365,0.91295,2.26611,0.95869,0.0013375,0.0013375,0.0013375
72,16944.8,0.97204,0.46964,1.17422,0.9411,0.90936,0.95279,0.73718,0.91353,2.25461,0.95915,0.00121375,0.00121375,0.00121375
73,17151.2,0.96118,0.45917,1.16224,0.94143,0.90991,0.95314,0.73747,0.91397,2.25012,0.95971,0.00109,0.00109,0.00109
74,17355.9,0.94299,0.45065,1.15523,0.9419,0.91084,0.9539,0.73769,0.91454,2.23072,0.9603,0.00096625,0.00096625,0.00096625
75,17562.2,0.92734,0.44461,1.14643,0.94193,0.91186,0.95383,0.73856,0.91484,2.21547,0.96081,0.0008425,0.0008425,0.0008425
76,17766.6,0.91607,0.43044,1.13993,0.94293,0.91146,0.95397,0.73885,0.91516,2.19848,0.96146,0.00071875,0.00071875,0.00071875
77,17972.7,0.91072,0.42697,1.13595,0.94345,0.91167,0.95417,0.73823,0.91611,2.18061,0.9622,0.000595,0.000595,0.000595
78,18177,0.89566,0.41795,1.12647,0.94513,0.91319,0.95451,0.73866,0.91678,2.15984,0.96288,0.00047125,0.00047125,0.00047125
79,18383.1,0.87773,0.41152,1.11866,0.94517,0.91403,0.95473,0.73928,0.9175,2.14333,0.96375,0.0003475,0.0003475,0.0003475
80,18587.4,0.867,0.40537,1.10803,0.94534,0.91392,0.95481,0.73856,0.91826,2.1255,0.9647,0.00022375,0.00022375,0.00022375
