epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,6415.49,0.88109,0.60472,1.14217,0.90493,0.86344,0.91073,0.6715,0.92203,0.50509,1.1756,0.00319375,0.00319375,0.00319375
57,6529.77,0.87496,0.59818,1.13681,0.9051,0.86439,0.91362,0.67339,0.92115,0.49652,1.17125,0.00307,0.00307,0.00307
58,6644.06,0.87761,0.59142,1.13567,0.90481,0.86446,0.91301,0.67503,0.92495,0.49488,1.16721,0.00294625,0.00294625,0.00294625
59,6758.4,0.87664,0.59222,1.13479,0.9052,0.86858,0.91379,0.67346,0.92763,0.49164,1.17065,0.0028225,0.0028225,0.0028225
60,6872.82,0.86806,0.58518,1.12782,0.91297,0.86281,0.91371,0.67416,0.92715,0.49061,1.17253,0.00269875,0.00269875,0.00269875
61,6987.09,0.85964,0.58158,1.13033,0.89916,0.87029,0.91447,0.6748,0.92363,0.49055,1.17238,0.002575,0.002575,0.002575
62,7101.36,0.86113,0.57242,1.12446,0.90304,0.86653,0.91373,0.67404,0.92287,0.49647,1.17174,0.00245125,0.00245125,0.00245125
63,7215.81,0.85518,0.5689,1.12288,0.90199,0.86613,0.91284,0.67429,0.9258,0.49317,1.17907,0.0023275,0.0023275,0.0023275
64,7330.04,0.84895,0.56092,1.12026,0.89839,0.86639,0.91079,0.67313,0.92595,0.49428,1.17475,0.00220375,0.00220375,0.00220375
65,7444.32,0.84443,0.55526,1.11352,0.90592,0.86363,0.91191,0.67433,0.92389,0.49398,1.16542,0.00208,0.00208,0.00208
66,7558.63,0.84304,0.55579,1.11509,0.90835,0.8646,0.91148,0.67503,0.92361,0.49245,1.16477,0.00195625,0.00195625,0.00195625
67,7672.9,0.83371,0.55359,1.10911,0.90327,0.86531,0.911,0.67495,0.92431,0.49341,1.16416,0.0018325,0.0018325,0.0018325
68,7787.17,0.82643,0.54488,1.1038,0.9048,0.86806,0.91185,0.67465,0.92548,0.49284,1.17034,0.00170875,0.00170875,0.00170875
69,7901.42,0.82328,0.54141,1.10634,0.90626,0.86736,0.91154,0.67448,0.92793,0.49268,1.17485,0.001585,0.001585,0.001585
70,8015.97,0.82069,0.53622,1.10377,0.90461,0.86583,0.91044,0.67434,0.92771,0.49454,1.17487,0.00146125,0.00146125,0.00146125
71,8131.61,0.71484,0.36798,1.01719,0.90678,0.86366,0.9096,0.67282,0.92964,0.49729,1.18103,0.0013375,0.0013375,0.0013375
72,8245.35,0.69586,0.34899,1.00537,0.90113,0.87095,0.90769,0.67091,0.93033,0.50214,1.18551,0.00121375,0.00121375,0.00121375
73,8358.97,0.6808,0.34133,1.00147,0.90097,0.86523,0.90557,0.66913,0.93416,0.50335,1.19642,0.00109,0.00109,0.00109
74,8472.65,0.66917,0.33343,0.99359,0.9036,0.86522,0.90559,0.66842,0.93449,0.50355,1.19867,0.00096625,0.00096625,0.00096625
75,8586.5,0.66449,0.32809,0.98719,0.90319,0.86828,0.90705,0.66747,0.93863,0.50518,1.20263,0.0008425,0.0008425,0.0008425
76,8700.09,0.65548,0.32143,0.98555,0.91017,0.86265,0.90521,0.66699,0.94047,0.50558,1.20464,0.00071875,0.00071875,0.00071875
77,8813.76,0.64342,0.31605,0.97458,0.90742,0.86481,0.90602,0.66617,0.94146,0.50856,1.20464,0.000595,0.000595,0.000595
78,8927.43,0.64065,0.31504,0.97455,0.90377,0.86563,0.90494,0.66546,0.94312,0.50888,1.20682,0.00047125,0.00047125,0.00047125
79,9041.14,0.63181,0.30761,0.97086,0.90433,0.86328,0.90363,0.66428,0.94551,0.50883,1.20957,0.0003475,0.0003475,0.0003475
80,9154.87,0.62221,0.30267,0.96697,0.90605,0.86177,0.90371,0.66407,0.94601,0.51021,1.21118,0.00022375,0.00022375,0.00022375
